simulation_number,round_probability,payout_multiplier
289,0.0002,0.5
290,0.0002,1.25
291,0.0002,0.625
292,0.0002,0.0
293,0.0002,0.5
294,0.0002,0.0
295,0.0002,0.5
296,0.0002,0.75
297,0.0002,0.5
298,0.0002,0.5
299,0.0002,1.75
300,0.0002,1.25
301,0.0002,0.0
302,0.0002,0.8
303,0.0002,1.125
304,0.0002,1.125
305,0.0002,0.5
306,0.0002,3.5
307,0.0002,1.0
308,0.0002,0.0
309,0.0002,0.0
310,0.0002,0.0
311,0.0002,1.0
312,0.0002,0.25
313,0.0002,1.2
314,0.0002,0.5
315,0.0002,0.0
316,0.0002,1.25
317,0.0002,2.75
318,0.0002,1.3
319,0.0002,0.6
320,0.0002,0.8
321,0.0002,0.0
322,0.0002,0.5
323,0.0002,2.5
324,0.0002,0.0
325,0.0002,1.4
326,0.0002,1.25
327,0.0002,0.625
328,0.0002,0.5
329,0.0002,0.5
330,0.0002,0.0
331,0.0002,1.5
332,0.0002,1.125
333,0.0002,0.8
334,0.0002,0.5
335,0.0002,1.0
336,0.0002,0.0
337,0.0002,0.4
338,0.0002,0.0
339,0.0002,2.25
340,0.0002,1.0
341,0.0002,0.25
342,0.0002,1.0
343,0.0002,1.0
344,0.0002,0.2
345,0.0002,0.0
346,0.0002,0.5
347,0.0002,0.5
348,0.0002,0.0
349,0.0002,0.8
350,0.0002,2.25
351,0.0002,0.0
352,0.0002,0.0
353,0.0002,0.75
354,0.0002,0.0
355,0.0002,0.0
356,0.0002,0.0
357,0.0002,0.75
358,0.0002,1.5
359,0.0002,0.5
360,0.0002,0.75
361,0.0002,1.25
362,0.0002,1.0
363,0.0002,1.2
364,0.0002,0.875
365,0.0002,1.0
366,0.0002,1.125
367,0.0002,0.0
368,0.0002,1.75
369,0.0002,0.0
370,0.0002,6.0
371,0.0002,3.25
372,0.0002,0.5
373,0.0002,1.5
374,0.0002,1.0
375,0.0002,1.25
376,0.0002,0.0
377,0.0002,0.0
378,0.0002,1.0
379,0.0002,0.5
380,0.0002,0.0
381,0.0002,1.2
382,0.0002,0.5
383,0.0002,0.5
384,0.0002,0.0
385,0.0002,1.2
386,0.0002,0.625
387,0.0002,3.0
388,0.0002,8.0
389,0.0002,1.0
390,0.0002,2.5
391,0.0002,0.0
392,0.0002,0.625
393,0.0002,2.2
394,0.0002,0.5
395,0.0002,1.2
396,0.0002,1.75
397,0.0002,1.0
398,0.0002,2.0
399,0.0002,0.0
400,0.0002,2.8
401,0.0002,1.25
402,0.0002,0.0
403,0.0002,0.0
404,0.0002,0.0
405,0.0002,1.125
406,0.0002,1.0
407,0.0002,2.25
408,0.0002,1.0
409,0.0002,1.25
410,0.0002,1.0
411,0.0002,0.0
412,0.0002,1.2
413,0.0002,1.25
414,0.0002,0.5
415,0.0002,1.25
416,0.0002,0.5
417,0.0002,1.125
418,0.0002,1.25
419,0.0002,0.0
420,0.0002,0.166667
421,0.0002,0.0
422,0.0002,0.875
423,0.0002,0.0
424,0.0002,0.0
425,0.0002,0.625
426,0.0002,0.5
427,0.0002,0.25
428,0.0002,0.8
429,0.0002,0.0
430,0.0002,0.0
431,0.0002,0.0
432,0.0002,1.5
433,0.0002,0.4
434,0.0002,0.0
435,0.0002,0.0
436,0.0002,0.2
437,0.0002,0.0
438,0.0002,1.0
439,0.0002,0.5
440,0.0002,2.25
441,0.0002,0.25
442,0.0002,0.0
443,0.0002,3.0
444,0.0002,0.0
445,0.0002,1.2
446,0.0002,1.0
447,0.0002,1.0
448,0.0002,2.5
449,0.0002,1.0
450,0.0002,1.0
451,0.0002,0.0
452,0.0002,1.0
453,0.0002,0.5
454,0.0002,0.0
455,0.0002,0.0
456,0.0002,1.125
457,0.0002,1.2
458,0.0002,1.75
459,0.0002,0.0
460,0.0002,1.0
461,0.0002,2.25
462,0.0002,1.0
463,0.0002,0.0
464,0.0002,1.125
465,0.0002,0.5
466,0.0002,1.0
467,0.0002,0.5
468,0.0002,1.25
469,0.0002,1.0
